ID,time,devEUI,deviceName,in6,in18,in36,moist_open_6,moist_open_18,moist_open_36,moist_sub_6,moist_sub_18,moist_sub_36
bee72f1c-7553-11e9-8a9c-b827eb637591,1557733816,0004A30B00211CF2,0211CF2,TERA00310b,TERA00310c,TERA00310d,2.8361,2.8315,2.842,2.2089,2.1992,2.1054
72104aca-752b-11e9-b57e-b827eb637591,1557716507,0004A30B00212BA6,0212BA6,TERA00198a,TERA00198b,TERA00198c,2.8208,2.831,2.9232,2.3674,2.2524,2.2379
7bcecc34-65a5-11e9-9ab0-b827eb637591,1556009703,0004A30B00212BC9,0212BC9,TERA000111a,TERA000111b,TERA000111c,2.7878,2.8012,2.9024,2.347,2.2825,2.1844
9a2ee7f8-bf29-11e9-b0cb-b827eb637591,1565852101,0004A30B00212C29,0212C29,TER19260013d,TER19260073e,TER19260013e,2.3547,2.3157,2.4552,2.3964,2.3085,2.4026
573bf7d6-753e-11e9-a567-b827eb637591,1557724622,0004A30B00212C3F,0212C3F,TERA00226d,TERA00217d,TERA00217d,2.8068,2.8194,2.9309,2.0993,2.0614,2.2432
8d1ea39a-bf2f-11e9-b135-b827eb637591,1565854656,0004A30B00212D3D,0212D3D,TER19260122a,TER19260122b,TER19260122c,2.8466,2.8474,2.841,2.3265,2.0619,2.1787
8ef4cfe8-c7c0-11e9-8158-b827eb637591,1566796546,0004A30B00212DA2,0212DA2,TER19260092b,TER19260092c,TER19260053e,2.3077,2.4023,2.4495,2.3091,2.4018,2.4466
ed82018a-751c-11e9-ba60-b827eb637591,1557710272,0004A30B00212DD4,0212DD4,TERA00248b,TERA00248c,TERA00248d,2.7595,2.842,2.9459,2.2602,2.3762,2.1976
b34e7d9e-bf19-11e9-a305-b827eb637591,1565845271,0004A30B00212DEC,0212DEC,TER19260078b,TER19260117d,TER19260117e,2.8079,2.8248,2.899,2.2811,2.3598,2.3864
e80e5b68-7558-11e9-822f-b827eb637591,1557736032,0004A30B00212E0B,0212E0B,TERA000106c,TERA000106d,TERA000106e,2.8237,2.8159,2.889,2.0364,2.0507,2.2357
02932c8a-bf22-11e9-82d3-b827eb637591,1565848840,0004A30B00212F0E,0212F0E,TER19260029b,TER19260033d,TER19260029e,2.7668,2.7163,2.8105,2.1576,2.0448,2.0996
f73abd2e-bf46-11e9-a9a2-b827eb637591,1565864713,0004A30B00212F14,0212F14,TER19260010a,TER19260010b,TER19260010c,2.8226,2.8122,2.8555,2.3843,2.3123,2.2005
eab6a350-76d1-11e9-94c8-b827eb637591,1557897957,0004A30B0021421E,021421E,TERA000142a,TERA000142b,TERA000142c,2.8522,2.8498,2.9014,2.2962,2.2943,2.1127
bf585740-bf2d-11e9-98ca-b827eb637591,1565853882,0004A30B00214257,0214257,TER19260107a,TER19260030d,TER19260107e,2.8732,2.7926,2.7872,2.3429,2.2833,2.3563
1cf4b252-c264-11e9-b137-b827eb637591,1566207085,0004A30B002143E2,0214300,TER19260117a,TER19260117b,TER19260117c,2.3391,2.3665,2.4292,2.3405,2.3655,2.4302
2e2917f6-7544-11e9-bc4c-b827eb637591,1557727130,0004A30B00214380,0214380,TERA00002a,TERA00002b,TERA00002c,2.8184,2.8369,2.9223,2.1874,2.2145,2.1629
c5847e06-c260-11e9-99f1-b827eb637591,1566205650,0004A30B00214382,0214382,TER19260104d,TER19260104e,TER19260074a,2.4931,2.3859,2.2876,2.3311,2.2586,2.4211
